64 1 7 1
64 1 9 1
64 1 11 1
64 1 16 1
64 1 17 1
64 1 19 1
64 1 25 1
64 1 29 1
64 1 31 1
64 1 36 1
64 1 37 1
64 1 40 1
64 1 47 1
64 1 51 1
64 1 52 1
64 1 53 1
66 2 2 1
66 2 3 1
66 2 4 1
66 2 5 1
66 2 6 1
66 2 8 1
66 2 10 1
66 2 12 1
66 2 13 1
66 2 14 1
66 2 15 1
66 2 18 1
66 2 20 1
66 2 21 1
66 2 22 1
66 2 23 1
64 3 73 2
64 3 74 2
64 3 75 2
66 4 77 1
66 4 78 1
66 5 79 1
207 7 73 3
207 7 72 3
207 7 75 3
207 7 74 3
64 8 76 2
66 9 80 1
99 9 73 4
64 10 66 6
99 10 72 4
99 11 75 4
64 11 73 5
66 12 81 1
64 12 72 5
64 12 77 2
137 13 68 4
137 13 67 4
137 13 70 4
64 13 10 5
64 13 6 4
64 13 78 2
64 14 68 5
64 14 67 5
64 14 70 5
64 14 69 5
653 14 8 3
329 14 4 5
66 14 82 1
64 15 8 4
64 15 4 6
448 15 76 3
64 15 68 6
64 15 67 6
64 15 70 6
99 15 74 4
64 15 75 5
64 15 69 6
64 15 79 2
64 16 8 5
523 16 1 2
64 16 4 7
997 16 0 1
66 16 83 1
64 16 74 5
64 17 8 6
64 17 4 8
64 17 0 1
64 18 4 9
64 18 8 7
64 19 4 10
998 19 2 3
64 19 8 8
448 19 77 3
64 20 8 9
64 20 2 4
64 20 4 11
448 20 78 3
64 21 2 5
64 21 80 2
448 22 79 3
137 23 76 4
64 23 81 2
64 24 76 5
1514 25 9 2
303 25 4 12
207 25 80 3
64 26 4 13
137 26 77 4
64 26 82 2
64 26 83 2
1484 27 5 3
64 27 4 14
207 27 81 3
64 27 77 5
64 28 4 15
64 28 76 6
64 29 4 16
137 29 78 4
137 29 79 4
99 29 80 4
64 29 77 6
64 30 4 17
207 30 82 3
207 30 83 3
64 30 78 5
64 30 79 5
64 30 80 5
99 30 81 4
64 31 4 18
64 31 81 5
64 31 78 6
64 31 79 6
333 32 32 4
99 32 82 4
99 32 83 4
345 33 5 4
999 33 0 2
120 33 4 19
931 33 16 3
64 33 32 5
64 33 82 5
64 33 83 5
64 34 0 3
66 35 32 6
280 38 5 5
309 38 4 20
64 39 4 21
99 40 5 6
64 40 4 22
64 41 5 7
1202 41 12 5
1266 41 35 5
706 42 8 11
64 42 12 6
64 42 35 6
64 43 8 12
66 43 84 1
66 43 85 1
64 44 8 13
64 44 84 2
1484 45 37 3
66 45 86 1
66 46 87 1
64 46 86 2
440 48 5 8
272 48 85 2
1514 49 31 3
1514 49 9 3
64 49 85 3
1005 50 0 4
1514 50 27 3
1514 50 41 3
64 50 85 4
64 51 0 5
66 52 88 1
66 52 89 1
66 52 90 1
64 53 89 2
606 54 84 3
64 55 84 4
66 55 91 1
64 55 88 2
373 56 27 4
64 56 84 5
609 56 86 3
64 57 86 4
64 58 55 35
64 58 86 5
64 59 86 6
131 61 55 36
1157 61 35 7
451 61 89 3
64 62 89 4
127 63 55 37
449 63 88 3
64 63 89 5
64 64 12 8
64 64 89 6
64 65 89 7
129 66 55 38
64 66 89 8
64 67 89 9
127 68 55 39
64 68 89 10
1484 69 37 4
64 69 55 40
64 69 89 11
1336 70 31 4
64 70 55 41
1514 70 87 2
64 70 89 12
64 71 55 42
64 71 89 13
1484 72 5 9
64 72 55 43
64 72 89 14
64 72 88 4
1514 73 9 4
64 73 89 15
64 73 88 5
64 73 15 5
100 74 5 10
1125 74 27 5
1514 74 41 4
1514 74 45 4
1514 74 49 4
64 74 89 16
66 74 92 1
66 74 93 1
64 75 92 2
1514 76 90 2
1484 76 61 10
64 77 89 17
66 78 94 1
1131 80 35 9
66 80 95 1
64 81 35 10
64 81 94 2
774 82 37 5
64 82 35 11
264 82 40 4
64 82 97 1
66 83 96 1
574 84 92 3
64 84 96 2
64 85 92 4
64 86 92 5
64 87 92 6
681 87 38 7
64 88 92 7
64 88 38 8
631 91 95 2
